Identificacion,Nombres,Apellidos,Edad,FechaNacimiento,Direccion,Telefono,EstadoCivil,IdentificacionConyuge,NombreConyuge,SujetoCredito,,,
1314957281,Nombres1,Apellidos1,25,7/15/1994,Direccion1,0981160765,2,,,1,,,
1314957282,Nombres2,Apellidos2,25,7/16/1994,Direccion2,0981160766,1,1313708909,NombreConyuge1,1,,,
1314957283,Nombres3,Apellidos3,25,7/17/1994,Direccion3,0981160767,2,,,1,,,
1314957284,Nombres4,Apellidos4,25,7/18/1994,Direccion4,0981160768,1,1313708901,NombreConyuge2,1,,,
1314957285,Nombres5,Apellidos5,25,7/19/1994,Direccion5,0981160769,1,1313708902,NombreConyuge3,1,,,
1314957286,Nombres6,Apellidos6,25,7/20/1994,Direccion6,0981160770,2,,,0,,,
1314957287,Nombres7,Apellidos7,25,7/21/1994,Direccion7,0981160771,2,,,0,,,
1314957288,Nombres8,Apellidos8,25,7/22/1994,Direccion8,0981160772,2,,,0,,,
1314957289,Nombres9,Apellidos9,25,7/23/1994,Direccion9,0981160773,1,1313708903,NombreConyuge4,0,,,
1314957280,Nombres10,Apellidos10,25,7/24/1994,Direccion10,0981160774,1,1313708904,NombreConyuge5,0,,,
1314957291,Nombres11,Apellidos11,25,7/25/1994,Direccion11,0981160775,1,1313708905,NombreConyuge6,0,,,
1314957292,Nombres12,Apellidos12,25,7/26/1994,Direccion12,0981160776,1,1313708906,NombreConyuge7,0,,,
1314957293,Nombres13,Apellidos13,25,7/27/1994,Direccion13,0981160777,1,1313708907,NombreConyuge8,0,,,
1314957294,Nombres14,Apellidos14,25,7/28/1994,Direccion14,0981160778,1,1313708908,NombreConyuge9,0,,,
1314957295,Nombres15,Apellidos15,25,7/29/1994,Direccion15,0981160779,1,1313708999,NombreConyuge10,0,,,
1314957296,Nombres16,Apellidos16,25,7/30/1994,Direccion16,0981160780,1,1313708900,NombreConyuge11,0,,,
1314957297,Nombres17,Apellidos17,25,7/31/1994,Direccion17,0981160781,1,1313708801,NombreConyuge12,0,,,
1314957298,Nombres18,Apellidos18,25,8/1/1994,Direccion18,0981160782,1,1313708803,NombreConyuge13,0,,,
1314957299,Nombres19,Apellidos19,25,8/2/1994,Direccion19,0981160783,1,1313708804,NombreConyuge14,0,,,
1314957290,Nombres20,Apellidos20,25,8/3/1994,Direccion20,0981160784,1,1313708805,NombreConyuge15,0,,,
